subject,condition,explore,slope,score,explore50
A26D2ZZKJW7BXR,Up,0.139896,0.36045,0.72539,0.1429
A26IN9KYYBGFBX,Up,0.267677,0.94295,0.70707,0.3191
A2DB8OW62ML5FP,Up,0.117949,0.46139,0.65128,0.2222
A2E2KUU1GGRKQ6,Up,0.112821,-0.00767,0.74359,0.2128
A2FUPODRRCESB,Up,0.158163,0.19831,0.70918,0.2128
A2HM35CWB7IIFM,Up,0.188776,0.90553,0.70408,0.1042
A2HR7ZIX42FEPG,Up,0.141414,0.06842,0.58081,0.1915
A2S96ZZ70YFPSK,Up,0.141414,0.46217,0.76768,0.4468
A2VIJLBSZATX3W,Up,0.309645,1.0952,0.64467,0.2917
A32CMQGGTSUK6Z,Up,0.148718,0.21966,0.70256,0.0833
A3J2CI4J5V3MLP,Up,0.357143,8.70633,0.63265,0.1042
A3KOVCQYR8K3HY,Up,0.271795,-0.09445,0.55385,0.1364
A3LFVI65XV1T46,Up,0.222222,0.23759,0.59596,0.2128
A3NSX46VYD9J49,Up,0.057592,-0.01933,0.71204,0.3542
A3VID10OBZ6FUG,Up,0.177083,1.02725,0.78125,0.2609
AC6CM49GMTR4U,Up,0.172589,0.49103,0.63452,0.1667
AEDV0CBBPU0RE,Up,0.208333,0.56612,0.72396,0.1458
AIR4UQNPIMFCJ,Up,0.174359,0.41036,0.62051,0.2093
ASLX3AJAL8XMU,Up,0.270408,0.93707,0.66837,0.1915
A1E40T3QHI9EZ4,Up,0.209184,0.35082,0.68367,0.2083
A1LQCO66YHYIWL,Up,0.15544,0.11951,0.6943,0.1667
A1N4JP7BSPNF95,Up,0.162437,0.70832,0.73604,0.2553
A1RI8QYD2X616H,Up,0.186869,2.51156,0.67677,0.2500
A20ASMCESA51U4,Up,0.212121,1.12673,0.61616,0.2708
A20IF612YY351J,Up,0.362245,1.10952,0.58673,0.1795
A2L6O958YPEWEX,Up,0.218274,0.49261,0.65482,0.0638
A2O76FE5NQWOC8,Up,0.228426,2.27294,0.67513,0.1915
A2TG7EEQ2XG2IK,Up,0.13089,0.39453,0.65969,0.1818
